GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sonar cloudformation plugin,com.hack23.sonar.cloudformation.parser,CfnNagReport,0,28,0,0,0,8,0,5,0,5
Sonar cloudformation plugin,com.hack23.sonar.cloudformation.parser,CfnNagViolation,0,60,0,0,0,18,0,11,0,11
Sonar cloudformation plugin,com.hack23.sonar.cloudformation.parser,CfnNagReportReader,7,17,0,0,3,4,0,3,0,3
Sonar cloudformation plugin,com.hack23.sonar.cloudformation.parser,CfnNagScanReport,0,17,0,0,0,7,0,5,0,5
Sonar cloudformation plugin,com.hack23.sonar.cloudformation.parser,CfnNagScanReportReader,9,20,0,0,3,4,0,3,0,3
Sonar cloudformation plugin,com.hack23.sonar.cloudformation.parser,CfnNagScanReportReader.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Sonar cloudformation plugin,com.hack23.sonar.cloudformation,CloudformationSensorConfiguration,0,11,0,0,0,4,0,2,0,2
Sonar cloudformation plugin,com.hack23.sonar.cloudformation,CloudformationSensor,32,386,4,28,6,75,4,20,0,8
Sonar cloudformation plugin,com.hack23.sonar.cloudformation,CloudformationRulesDefinition,5,113,1,9,2,24,1,10,0,6
Sonar cloudformation plugin,com.hack23.sonar.cloudformation,CloudformationProperties,0,36,0,0,0,8,0,1,0,1
Sonar cloudformation plugin,com.hack23.sonar.cloudformation,CloudformationLanguage,0,60,1,5,0,12,1,5,0,3
Sonar cloudformation plugin,com.hack23.sonar.cloudformation,CloudformationQualityProfile,0,280,0,2,0,71,0,5,0,4
Sonar cloudformation plugin,com.hack23.sonar.cloudformation,CloudformationPlugin,0,31,0,0,0,4,0,2,0,2
